SPÓŁDZIELNIA PIEKARSKO-CIASTKARSKA W WARSZAWIE;0000053005;5250001658;00106227900000;KRAKOWIAKÓW 103;;02-255;WARSZAWA;;SPÓŁDZIELNIA;12.10.2001;52.190584099999995;20.93334174632058
STOŁECZNA SPÓŁDZIELNIA MIESZKANIOWA PRACOWNIKÓW SŁUŻBY ZDROWIA "ESKULAP";0000047740;5250006302;00107090700000;SOKOŁOWSKA 24 / 26;;01 - 142;WARSZAWA;;SPÓŁDZIELNIA;12.10.2001;52.23882595;20.959518463384814
SPÓŁDZIELNIA SPOŻYWCÓW "SUPERSAM";0000050738;5250005142;01203458000000;UL. RACŁAWICKA 146;;02-117;WARSZAWA;;SPÓŁDZIELNIA;10.10.2001;52.19873015;20.98024032960381
SPÓŁDZIELNIA WYDAWNICZA "CZYTELNIK";0000051118;5250003982;00027567100000;WIEJSKA 12A;;00-490;WARSZAWA;;SPÓŁDZIELNIA;09.10.2001;52.22644315;21.02567045540288
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA DOM;0000048636;5262142040;00049001000000;ANDRZEJOWSKA 6/8;;02-312;WARSZAWA;;SPÓŁDZIELNIA;28.09.2001;52.2209141;20.9819564
SPÓŁDZIELCZE STOWARZYSZENIE BUDOWY MIESZKAŃ "ZGODA";0000047439;5251001181;00049067100000;KRASIŃSKIEGO 21;;01-566;WARSZAWA;;SPÓŁDZIELNIA;25.09.2001;52.2674648;20.982136714303707
NAUCZYCIELSKA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA;0000041859;5250006561;00049152900000;GWIAŹDZISTA 13;;01-651;WARSZAWA;;SPÓŁDZIELNIA;20.09.2001;52.279818;20.984740193368438
SPÓŁDZIELNIA MIESZKANIOWA "BATORY-WSCHÓD";0000037655;5210334891;01105476300000;STEFANA BATOREGO 39;;02-591;WARSZAWA;;SPÓŁDZIELNIA;19.09.2001;52.2101063;21.008092807544
SPÓŁDZIELNIA MIESZKANIOWA "MIŁA";0000041402;5250006905;01056001000000;ANIELEWICZA 23A;;01-026;WARSZAWA;;SPÓŁDZIELNIA;12.09.2001;52.2464614;20.987308036834776
SKŁADNICA IMPORTOWA ARTYKUŁÓW PRZEMYSŁOWYCH "SAMOPOMOC" SPÓŁDZIELNIA OSÓB PRAWNYCH;0000041916;5250005202;00038470400000;MARYNARSKA 14;;02-674;WARSZAWA;;SPÓŁDZIELNIA;10.09.2001;52.1816756;20.9904326
SPÓŁDZIELNIA MIESZKANIOWA "PODLEŚNA";0000041813;5250012277;00621516700000;MARYMONCKA 32B;20;01-869;WARSZAWA;;SPÓŁDZIELNIA;05.09.2001;52.2820655;20.95850743077117
SPÓŁDZIELNIA MIESZKANIOWA "SZCZĘŚLIWICE";0000039464;5251001057;01117737100000;WŁODARZEWSKA 59D;;02-384;WARSZAWA;;SPÓŁDZIELNIA;29.08.2001;52.2005769;20.954937381837553
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA"MERKURY";0000038688;5261663044;00647283000000;ALEJA KOMISJI EDUKACJI NARODOWEJ 24;;02-797;WARSZAWA;;SPÓŁDZIELNIA;27.08.2001;52.134289;21.0635822
SPÓŁDZIELNIA MIESZKANIOWA " OŚ SASKA ";0000038475;5250006710;00623341000000;UL. GRZYBOWSKA 16/22;;00-132;WARSZAWA;;SPÓŁDZIELNIA;27.08.2001;52.2370615;20.9993221
SPÓŁDZIELNIA MIESZKANIOWA "PAX" W UPADŁOŚCI;0000038220;5250006319;00049106700000;AL. STANÓW ZJEDNOCZONYCH 72;UŻ. 24;04-036;WARSZAWA;;SPÓŁDZIELNIA;24.08.2001;52.2436275;21.085082
SPÓŁDZIELNIA MIESZKANIOWA "CENTRUM I";0000037033;5250012113;00622813500000;ŚWIĘTOKRZYSKA 31/33A;;00-049;WARSZAWA;;SPÓŁDZIELNIA;22.08.2001;52.2350703;21.0099327
SPÓŁDZIELNIA MIESZKANIOWA "NOWODWORSKA";0000035880;5242402986;01736393300000;NOWODWORSKA 14 E;;03-133;WARSZAWA;;SPÓŁDZIELNIA;17.08.2001;52.32202995;20.94095770654545
SPÓŁDZIELNIA "WOLA";0000036462;5250002273;00070633200000;GRZYBOWSKA 76/78;;00-844;WARSZAWA;;SPÓŁDZIELNIA;16.08.2001;52.233835;20.9857019
HANDLOWA SPÓŁDZIELNIA PRACY"HURT";0000032102;5250005372;00217895000000;WOLSKA 84/86;;01-141;WARSZAWA;;SPÓŁDZIELNIA;16.08.2001;52.2322771;20.9595129
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA NAUCZYCIELI;0000031021;5250011154;01250866300000;KORZONA 115;;03-571;WARSZAWA;;SPÓŁDZIELNIA;14.08.2001;52.27826025;21.0497921910891
SPÓŁDZIELNIA MIESZKANIOWA "PRZY METRZE";0000033334;9510026546;01048552100000;ALEJA KOMISJI EDUKACJI NARODOWEJ 36;U-128;02-797;WARSZAWA;;SPÓŁDZIELNIA;03.08.2001;52.1396748;21.0585326
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "SOLNA";0000032246;5251978674;00097418500000;JANA PAWŁA II 38;;00-141;WARSZAWA;;SPÓŁDZIELNIA;31.07.2001;52.2161234;21.2402314
SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA "TORWAR";0000032164;5250006762;00138400800000;GÓRNOŚLĄSKA 9/11;;00 - 443;WARSZAWA;;SPÓŁDZIELNIA;30.07.2001;52.225249250000005;21.038570511160273
SPÓŁDZIELNIA MIESZKANIOWA "DOMHUT";0000031897;5250012857;01047472400000;UL. ZBIGNIEWA ROMASZEWSKIEGO 6;B6;01-892;WARSZAWA;;SPÓŁDZIELNIA;27.07.2001;52.2703706;20.9550105
ŚRÓDMIEJSKA SPÓŁDZIELNIA MIESZKANIOWA W UPADŁOŚCI LIKWIDACYJNEJ;0000016725;5250012099;00065751000000;AL. 3 MAJA 12;-;00 - 391;WARSZAWA;;SPÓŁDZIELNIA;25.07.2001;52.2346746;21.03202228126393
SPÓŁDZIELNIA MIESZKANIOWA "ŁAZIENKOWSKA";0000014693;5250006555;00622224000000;UL. POLNA 30;63;00-635;WARSZAWA;;SPÓŁDZIELNIA;25.07.2001;52.217122;21.0172946
SPÓŁDZIELNIA MIESZKANIOWA PRZY MINISTERSTWIE SPRAW WEWNĘTRZNYCH;0000029183;5250006348;00048975100000;RACŁAWICKA 2;;02-601;WARSZAWA;;SPÓŁDZIELNIA;19.07.2001;52.2002661;21.022967875807588
LOKATORSKO-WŁASNOŚCIOWA SPÓŁDZIELNIA MIESZKANIOWA "BUDOWA";0000027073;5250012515;00049219600000;PLUTONU TORPEDY 47;;02-495;WARSZAWA;;SPÓŁDZIELNIA;13.07.2001;52.19318595;20.88779102032744
WARSZAWSKA SPÓŁDZIELNIA MIESZKANIOWA "ŻOLIBORZ CENTRALNY";0000026051;5250012774;00691284800000;ADAMA PRÓCHNIKA 6;;01-585;WARSZAWA;;SPÓŁDZIELNIA;06.07.2001;52.26850415;20.981054579619787
KOSMETYCZNO-LEKARSKA SPÓŁDZIELNIA PRACY "IZIS";0000026036;5250005745;00042273500000;ŚNIADECKICH 21;16;00-654;WARSZAWA;;SPÓŁDZIELNIA;06.07.2001;52.22025415;21.013045830019685
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "ANDRZEJÓWKA";0000025981;5262142034;00049000400000;ANDRZEJOWSKA 3;;02-312;WARSZAWA;;SPÓŁDZIELNIA;06.07.2001;52.220818050000005;20.98156178518775
SPÓŁDZIELNIA MIESZKANIOWA "KSAWERÓW";0000025563;5250011473;01102009500000;ALEJA NIEPODLEGŁOŚCI 43;;02-653;WARSZAWA;;SPÓŁDZIELNIA;06.07.2001;52.1874659;21.017388709
SPÓŁDZIELNIA MIESZKANIOWA "LOKATA";0000020800;9511621647;01233764100000;NOWOURSYNOWSKA 143J;;02-776;WARSZAWA;;SPÓŁDZIELNIA;04.07.2001;52.1517496;21.059001601585148
SPÓŁDZIELNIA MIESZKANIOWA "OSIEDLE STRYJEŃSKICH";0000024786;5262558763;01734083700000;STRYJEŃSKICH 8;290A;02-791;WARSZAWA;;SPÓŁDZIELNIA;03.07.2001;52.1332292;21.055606584755836
SPÓŁDZIELNIA MIESZKANIOWA "MURANÓW";0000023171;5250012478;01211364000000;DZIELNA 10;;00-162;WARSZAWA;;SPÓŁDZIELNIA;03.07.2001;52.2471486;20.993687967776474
SPÓŁDZIELNIA MIESZKANIOWA "ARBUZOWA";0000024328;5250012975;01210334000000;UL. KAZIMIERZA KURATOWSKIEGO 2;;02-747;WARSZAWA;;SPÓŁDZIELNIA;29.06.2001;52.170845850000006;21.05723654982588
SPÓŁDZIELNIA BUDOWNICTWA MIESZKANIOWEGO "ELPOL";0000023244;9511830026;00135728200000;POD LIPĄ 1;;02-798;WARSZAWA;;SPÓŁDZIELNIA;28.06.2001;52.1285839;21.0616017
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "RADAROWA";0000023347;5251001117;01123043800000;RADAROWA 15;;02-137;WARSZAWA;;SPÓŁDZIELNIA;27.06.2001;52.1904679;20.967538576571798
SPÓŁDZIELNIA MIESZKANIOWA "GOCŁAW-LOTNISKO";0000021152;5250010060;00092091800000;ORLEGO LOTU 6;;03-982;WARSZAWA;;SPÓŁDZIELNIA;26.06.2001;52.2271249;21.0912452
"SPOŁEM" WARSZAWSKA SPÓŁDZIELNIA SPOŻYWCÓW PRAGA POŁUDNIE;0000020644;5250004728;00088025400000;UL. GROCHOWSKA 207;U8;04-077;WARSZAWA;;SPÓŁDZIELNIA;21.06.2001;52.2440291;21.0859208
SPÓŁDZIELNIA MIESZKANIOWA "GÓRCZEWSKA";0000012927;5250009536;00107152200000;DOROSZEWSKIEGO 4;;01-318;WARSZAWA;;SPÓŁDZIELNIA;11.06.2001;52.2381496;20.90172308200537
SPÓŁDZIELNIA MIESZKANIOWA "ŻELAZNA BRAMA";0000017795;5250006957;00141806100000;PLAC MIROWSKI 14;;00-138;WARSZAWA;;SPÓŁDZIELNIA;08.06.2001;52.23920285;20.99656777607609
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "DOM";0000017484;5250010025;00124169700000;UL. FASOLOWA 37;LU-1;02-482;WARSZAWA;;SPÓŁDZIELNIA;08.06.2001;52.1999991;20.90592037521428
SPÓŁDZIELNIA MIESZKANIOWA "MIĘDZYNARODOWA" W WARSZAWIE;0000016111;1132177612;01611735600000;MIĘDZYNARODOWA 44;;03-922;WARSZAWA PRAGA POŁUDNIE;;SPÓŁDZIELNIA;05.06.2001;52.23400325;21.06659175900875
SPÓŁDZIELNIA MIESZKANIOWA " OSIEDLE ZACISZE";0000017250;5251001034;01111845700000;WOLIŃSKA 17;A;03-699;WARSZAWA;;SPÓŁDZIELNIA;04.06.2001;52.289358050000004;21.082456475550536
WARSZAWSKA SPÓŁDZIELNIA GASTRONOMICZNA"CENTRUM";0000016748;5250004964;00140776100000;WIDOK 24;;00 - 023;WARSZAWA;;SPÓŁDZIELNIA;04.06.2001;52.23119995;21.012560205155914
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "ŚRÓDMIEŚCIE II";0000011091;5250012544;00049134000000;SŁUPECKA 4;24;02-309;WARSZAWA;;SPÓŁDZIELNIA;04.06.2001;52.2203284;20.9830506
WARSZAWSKIE ZAKŁADY KALETNICZE "NOMA" SPÓŁDZIELNIA INWALIDÓW;0000016219;5250002072;00045577500000;KORKOWA 167;;04-549;WARSZAWA;;SPÓŁDZIELNIA;01.06.2001;52.241983700000006;21.16233099554224
SPÓŁDZIELNIA MIESZKANIOWA"WŁODARZEWSKA II";0000014606;5261134334;01192551900000;WŁODARZEWSKA 53 A;;02-384;WARSZAWA;;SPÓŁDZIELNIA;31.05.2001;52.2014498;20.957259923299205
WARSZAWSKA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "CHOMICZÓWKA";0000015990;5250011616;01201147700000;PABLA NERUDY 1;;01-926;WARSZAWA;;SPÓŁDZIELNIA;30.05.2001;52.2757172;20.9274517
SPÓŁDZIELNIA MIESZKANIOWA "NAD POTOKIEM";0000013073;5250009542;01253629200000;ŁUKOWA 9;;02-767;WARSZAWA;;SPÓŁDZIELNIA;24.05.2001;52.17473995;21.041971915863783
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "WSPÓLNY TRUD";0000011836;9511587270;00092090100000;CZAPLI 19 A;;02-781;WARSZAWA;;SPÓŁDZIELNIA;19.05.2001;52.14946035;21.031235746504265
SPÓŁDZIELNIA BUDOWNICTWA MIESZKANIOWEGO "URSYNÓW";0000011826;5250006354;00049111000000;AL.KOMISJI EDUKACJI NARODOWEJ 98;;02-777;WARSZAWA;;SPÓŁDZIELNIA;19.05.2001;52.1612056;21.0290127
MIESZKANIOWA SPÓŁDZIELNIA WŁASNOŚCIOWA "NOWY DOM ";0000011731;5250006986;00049063600000;MOKOTOWSKA 67;;00- 530;WARSZAWA;;SPÓŁDZIELNIA;10.05.2001;52.2269259;21.0222738
SPÓŁDZIELNIA MIESZKANIOWA " OSIEDLE STARÓWKA";0000011375;5250012461;01042055600000;SCHILLERA 4;;00-248;WARSZAWA;;SPÓŁDZIELNIA;09.05.2001;52.2478264;21.006401685619274
SPÓŁDZIELNIA MIESZKANIOWA "ARCHITEKT";0000011347;5271240138;01182695800000;PEŁCZYŃSKIEGO 22E;;01-471;WARSZAWA;;SPÓŁDZIELNIA;09.05.2001;52.24366355;20.90589249930556
SPÓŁDZIELNIA MIESZKANIOWA "ANIN";0000011330;5251000566;00048985700000;UL. ROMANA PAZIŃSKIEGO 6;01;04-643;WARSZAWA;;SPÓŁDZIELNIA;09.05.2001;52.2151662;21.1760706
SPÓŁDZIELNIA MIESZKANIOWA "LENTZA 35";0000010784;5251000980;01059823100000;LENTZA 35;;02-956;WARSZAWA;;SPÓŁDZIELNIA;09.05.2001;52.1709415;21.0714321
SPÓŁDZIELNIA MIESZKANIOWA "MOKOTÓW";0000010365;5250010746;00048974500000;UL. BALLADYNY 3C;;02-553;WARSZAWA;;SPÓŁDZIELNIA;09.05.2001;52.200191849999996;21.003063846188585
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA STOKŁOSY;0000010235;5250011361;01105238500000;JASTRZĘBOWSKIEGO 22;;02-786;WARSZAWA;;SPÓŁDZIELNIA;09.05.2001;52.1616336;21.0369979
"SPOŁEM" WARSZAWSKA SPÓŁDZIELNIA SPOŻYWCÓW ŚRÓDMIEŚCIE;0000010740;5250004906;00088027700000;NOWY ŚWIAT 53;;00-042;WARSZAWA;;SPÓŁDZIELNIA;08.05.2001;52.235741950000005;21.01804313589345
WARSZAWSKA SPÓŁDZIELNIA MIESZKANIOWA "OCHOTA".;0000005346;5250006779;00049179400000;PRUSZKOWSKA 17;--;02-119;WARSZAWA;;SPÓŁDZIELNIA;18.04.2001;52.20129515;20.978481796903914
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW SŁUŻBY ZDROWIA;0000006969;5251000721;00049082000000;BRAZYLIJSKA 6;49;03-946;WARSZAWA;;SPÓŁDZIELNIA;11.04.2001;52.23066745;21.063304884022394
SPÓŁDZIELNIA MIESZKANIOWA "OSIEDLE WILANÓW";0000006346;5250006325;01205720300000;NIEMIROWSKA 1;4;02-921;WARSZAWA;;SPÓŁDZIELNIA;05.04.2001;52.1756015;21.065039171296043
SPÓŁDZIELNIA MIESZKANIOWA "LAZUROWA";0000006022;5250007106;00623278600000;ROZŁOGI 8;;01-310;WARSZAWA;;SPÓŁDZIELNIA;04.04.2001;52.223934650000004;20.900473180402514
SPÓŁDZIELNIA MIESZKANIOWA "NA SKRAJU";0000005774;5250011881;01102074100000;UL. STANISŁAWA KULCZYŃSKIEGO 14;;02-777;WARSZAWA;;SPÓŁDZIELNIA;04.04.2001;52.1485783;21.0553382
SPÓŁDZIELNIA MIESZKANIOWA "OSIEDLE MŁODYCH";0000005530;5250011622;00048980500000;GRENADIERÓW 21;;04-052;WARSZAWA;;SPÓŁDZIELNIA;04.04.2001;52.238954500000006;21.084138934250138
;error
;error
